removed_feature,set,rep,rmse,AUC
NEWpi,trn,0,0.33549364842415963,0.8819398957662802
NEWpi,dev,0,0.345686357166951,0.8669398764260628
NEWpi,tst,0,0.3396942314000375,0.874214101355531
gerp,trn,0,0.34418126709536284,0.8536990616922986
gerp,dev,0,0.3508561668172875,0.846217234101626
gerp,tst,0,0.3457228768088681,0.8552615135207048
mr,trn,0,0.34691043750066125,0.8472836299055838
mr,dev,0,0.35403132891496253,0.839325488847595
mr,tst,0,0.3461636961270137,0.84850418004239
tau,trn,0,0.34878382898147425,0.8492389277630733
tau,dev,0,0.358278571516856,0.8384905335845444
tau,tst,0,0.3479434766357168,0.8490867710654003
SIFTsorghum,trn,0,0.34317155416232487,0.8623399210430568
SIFTsorghum,dev,0,0.3516064192571351,0.8526991175413735
SIFTsorghum,tst,0,0.3437310126869471,0.8582155774092733
SIFTcounts,trn,0,0.3429897310621558,0.8508259308149796
SIFTcounts,dev,0,0.34982807628623247,0.8436213968032632
SIFTcounts,tst,0,0.3433713127552053,0.8522107088045633
rho,trn,0,0.34097429748265323,0.8595333237348393
rho,dev,0,0.3477551716002422,0.8538308626275857
rho,tst,0,0.34396098987694096,0.856125407072006
Mpi,trn,0,0.3649011611694716,0.8471876441472785
Mpi,dev,0,0.3742888183936929,0.8276080755951254
Mpi,tst,0,0.3661026858233597,0.8391308371512091
Mexp,trn,0,0.35047321048029095,0.8433028237213126
Mexp,dev,0,0.35750828933442275,0.8342216846165312
Mexp,tst,0,0.34926299299198016,0.8445832312669266
Sexp,trn,0,0.3352520181195465,0.8813320875779856
Sexp,dev,0,0.34483308740196533,0.8690286508394965
Sexp,tst,0,0.3340992869292171,0.8776707838121368
winLen,trn,0,0.33555452562343213,0.8782946284053944
winLen,dev,0,0.34439177641877955,0.8669812406365879
winLen,tst,0,0.3363832244753577,0.8719169355215058
geneLen,trn,0,0.34233443358509785,0.8528915755576031
geneLen,dev,0,0.3496026086418858,0.8434727452182341
geneLen,tst,0,0.3435928353908521,0.8514460132528777
none,trn,1,0.33990956907764014,0.8732400333563263
none,dev,1,0.33575620860525257,0.8732298043722784
none,tst,1,0.34509116497278913,0.865935690455052
NEWpi,trn,1,0.3388023534309939,0.8727577728390542
NEWpi,dev,1,0.33725419497655684,0.8731806603471358
NEWpi,tst,1,0.34364976288459687,0.8684401902231583
gerp,trn,1,0.33693419686568016,0.8770127985352006
gerp,dev,1,0.3363543408286001,0.8749894626193684
gerp,tst,1,0.34804783959046354,0.8638063931300501
tau,trn,1,0.3496777025508757,0.8436364373236342
tau,dev,1,0.34998283471862296,0.8397585481097307
tau,tst,1,0.3540250364114061,0.8376048747660327
SIFTsorghum,trn,1,0.3312848396693331,0.8837260355912546
SIFTsorghum,dev,1,0.3288028617973343,0.8853964541153156
SIFTsorghum,tst,1,0.3355349746210302,0.8787648785468241
SIFTcounts,trn,1,0.33334538194616836,0.8790858217623918
SIFTcounts,dev,1,0.3353029956874937,0.8716681485580854
SIFTcounts,tst,1,0.33982010463142837,0.8709711117977447
rho,trn,1,0.34116449984472846,0.8542025881864336
rho,dev,1,0.3386246640607506,0.852288861346711
rho,tst,1,0.35070211244242777,0.8444315324085788
Mpi,trn,1,0.3641763140857583,0.8441162564361653
Mpi,dev,1,0.3622107782527482,0.8444882014956855
Mpi,tst,1,0.372386747751798,0.8325724705319092
Mexp,trn,1,0.3487690784848535,0.8460263731515941
Mexp,dev,1,0.3445804707839932,0.8455151124067918
Mexp,tst,1,0.3531073325303313,0.8395682834336967
Sexp,trn,1,0.3444400169178154,0.8583200587249312
Sexp,dev,1,0.341881572583497,0.8574759898263604
Sexp,tst,1,0.3500780342168335,0.8498992609295567
winLen,trn,1,0.34215290600170983,0.8520686824082708
winLen,dev,1,0.3395368900699598,0.8512380707540931
winLen,tst,1,0.35038624126026824,0.8420677170694401
geneLen,trn,1,0.3435153593852248,0.8513784277923199
geneLen,dev,1,0.341684431926461,0.8500120990146239
geneLen,tst,1,0.3489917969197336,0.8452943095573074
none,trn,2,0.3353889444497028,0.8724429074323347
none,dev,2,0.3426209569794781,0.866158675030639
none,tst,2,0.3437500975348594,0.8626644325093226
NEWpi,trn,2,0.34339200147998694,0.853150779748133
NEWpi,dev,2,0.3519771144367204,0.8468668335965989
NEWpi,tst,2,0.3492889107666696,0.8450014740704113
gerp,trn,2,0.3402745706002694,0.8590104818410752
gerp,dev,2,0.3509442615452111,0.8490138830268127
gerp,tst,2,0.346957200423049,0.8515181451937682
tau,trn,2,0.35048042771114574,0.8447573840328876
tau,dev,2,0.3580182421008447,0.838133890032048
tau,tst,2,0.3592975159747401,0.8337944735881425
SIFTcounts,trn,2,0.3397226775658797,0.8569609221155968
SIFTcounts,dev,2,0.34599400798826785,0.8548509343262566
SIFTcounts,tst,2,0.34578825554385434,0.8506053199137041
rho,trn,2,0.3426867535743189,0.8526394263740461
rho,dev,2,0.3511057641894213,0.8450484368859081
rho,tst,2,0.34829435829559763,0.8454916324527707
Mpi,trn,2,0.3706714636704674,0.826192330614307
Mpi,dev,2,0.3777008743973403,0.8151677813694856
Mpi,tst,2,0.37738050435825976,0.8196885937219442
Mexp,trn,2,0.35024663716076204,0.8448742086141791
Mexp,dev,2,0.3592652484986559,0.8380766947329471
Mexp,tst,2,0.3585996141141229,0.8335352808728889
Sexp,trn,2,0.3419944519107432,0.8548529025377162
Sexp,dev,2,0.3532626579990535,0.8438958666383024
Sexp,tst,2,0.34974561199901294,0.8453149827162657
geneLen,trn,2,0.3374647091145757,0.8689364001044124
geneLen,dev,2,0.3477636771367991,0.8629675293639633
geneLen,tst,2,0.3463102602078182,0.8561053950704145
NEWpi,trn,3,0.34253067810258647,0.8526520258639124
NEWpi,dev,3,0.3424293225344692,0.8534655191345352
NEWpi,tst,3,0.3440309914965563,0.8506620375190274
gerp,trn,3,0.3430100301000331,0.8526124049000222
gerp,dev,3,0.34460426517037224,0.8529420234797982
gerp,tst,3,0.344901237864055,0.847791036141286
mr,trn,3,0.34853799850318223,0.8475976064710276
mr,dev,3,0.3487517530643333,0.8484041751459047
mr,tst,3,0.3453833183753067,0.8481650306654066
tau,trn,3,0.3487962291697708,0.8444236651541047
tau,dev,3,0.34995010224651657,0.8454763583533991
tau,tst,3,0.3516301831684862,0.8402665685947067
SIFTsorghum,trn,3,0.34104473736956836,0.8541767049793045
SIFTsorghum,dev,3,0.3422561720304797,0.8558609924529561
SIFTsorghum,tst,3,0.3437802669898422,0.8515876921137709
SIFTcounts,trn,3,0.3427970421643438,0.8547830977856257
SIFTcounts,dev,3,0.34478893202113065,0.8536839662395653
SIFTcounts,tst,3,0.342023883093714,0.8550640530828547
rho,trn,3,0.3341168927087852,0.8809504446255666
rho,dev,3,0.34013997245325395,0.8734656750493666
rho,tst,3,0.3389615523899204,0.8726346803727406
Mexp,trn,3,0.34036810750773705,0.873939510741879
Mexp,dev,3,0.33966424739602824,0.8734571935440115
Mexp,tst,3,0.34010818760448575,0.8707675624479664
Sexp,trn,3,0.3454662308758522,0.8502788019641855
Sexp,dev,3,0.3447899692566609,0.8529627741822045
Sexp,tst,3,0.3450619630178935,0.8483822208724047
winLen,trn,3,0.34206561831226173,0.8550924787203885
winLen,dev,3,0.34216011364530796,0.8540509946268777
winLen,tst,3,0.3421230394797134,0.8539970849820185
geneLen,trn,3,0.343847607713093,0.852792995483211
geneLen,dev,3,0.3443195220098271,0.8555376766944819
geneLen,tst,3,0.34500097100148874,0.8511338464026902
none,trn,4,0.33658666874593823,0.8789416329945183
none,dev,4,0.3408846097702995,0.8722472571551503
none,tst,4,0.3403455602947815,0.8682807265088687
NEWpi,trn,4,0.33606838293745617,0.8811522095450998
NEWpi,dev,4,0.33994036430236463,0.8733614169838925
NEWpi,tst,4,0.34239496491316934,0.8665477963541006
gerp,trn,4,0.33902642194355354,0.8747442382699603
gerp,dev,4,0.3414206368668876,0.8693512163269634
gerp,tst,4,0.34102968490648333,0.8677823025300974
mr,trn,4,0.34448087544570616,0.8583239438124596
mr,dev,4,0.34785955892171705,0.850690026293545
mr,tst,4,0.3446641276503227,0.8509667250850107
tau,trn,4,0.34975205605374965,0.8421397762438522
tau,dev,4,0.3583903090883103,0.831404833685678
tau,tst,4,0.3501835482270721,0.835202959488969
SIFTsorghum,trn,4,0.3371029531634129,0.8777579136309815
SIFTsorghum,dev,4,0.33920564706131767,0.8741554884223207
SIFTsorghum,tst,4,0.33805841899192157,0.871381269361064
SIFTcounts,trn,4,0.3362611054781058,0.8754935673247118
SIFTcounts,dev,4,0.3419691360173055,0.86815536434623
SIFTcounts,tst,4,0.33622331437147795,0.8713144992932454
rho,trn,4,0.3324734267931249,0.8819913368177869
rho,dev,4,0.33898194977929524,0.8733002323631788
rho,tst,4,0.33149832423536,0.8788696378028087
Mpi,trn,4,0.36672900367188105,0.8403839766310138
Mpi,dev,4,0.3667295522118756,0.8375128273801185
Mpi,tst,4,0.3682524678664894,0.8354370976829301
Sexp,trn,4,0.34306953009603774,0.867254850316832
Sexp,dev,4,0.34467767039140484,0.8629766540607505
Sexp,tst,4,0.342037323435556,0.8624204757195394
geneLen,trn,4,0.34542416238685303,0.8506737157388398
geneLen,dev,4,0.34805677680284786,0.848272362554323
geneLen,tst,4,0.34585444053712744,0.8463760429085568
NEWpi,trn,5,0.3340805874380466,0.8754839308279446
NEWpi,dev,5,0.3401951343493423,0.8693781006683717
NEWpi,tst,5,0.3402438822665068,0.8668681951409091
gerp,trn,5,0.34347062245350457,0.8566394646851766
gerp,dev,5,0.34897845362073343,0.8511548092641886
gerp,tst,5,0.34890459723963063,0.850155312580152
mr,trn,5,0.33808976848333616,0.8802339365814845
mr,dev,5,0.34439005650942905,0.8712662670873259
mr,tst,5,0.3450991100678124,0.8751503544470278
tau,trn,5,0.348150726734051,0.8475271929595297
tau,dev,5,0.3502806394144427,0.8455996570928498
tau,tst,5,0.352571406690313,0.8461669541992288
SIFTsorghum,trn,5,0.33760084835415954,0.8755441606982478
SIFTsorghum,dev,5,0.3434625529175397,0.8656643894235613
SIFTsorghum,tst,5,0.34517345692962503,0.8639975256624072
SIFTcounts,trn,5,0.34382263413239855,0.851694765367227
SIFTcounts,dev,5,0.34860559565629434,0.8470599982031891
SIFTcounts,tst,5,0.3485304417696139,0.8461782317354444
Mpi,trn,5,0.37026199688558353,0.8279617460093752
Mpi,dev,5,0.3728277551514794,0.8224448366286724
Mpi,tst,5,0.37399837718703344,0.8213650628423718
Mexp,trn,5,0.346051401686148,0.8664690242755878
Mexp,dev,5,0.3507660745681314,0.8581424952313217
Mexp,tst,5,0.3528884783416241,0.8560188128540652
Sexp,trn,5,0.346926963625543,0.8484455802339238
Sexp,dev,5,0.3506410178267345,0.84311780961899
Sexp,tst,5,0.3519560941852473,0.841332808880774
winLen,trn,5,0.33519889898085203,0.8790200977143338
winLen,dev,5,0.33917544413127204,0.8713565663422651
winLen,tst,5,0.3420075230670313,0.8696363937488426
geneLen,trn,5,0.3412236229340461,0.8579187239570437
geneLen,dev,5,0.34528070709105735,0.8545861502899723
geneLen,tst,5,0.34688548037874534,0.8521522073384947
gerp,trn,6,0.34597564990020296,0.8506597931075088
gerp,dev,6,0.35127461620358985,0.8490228042242641
gerp,tst,6,0.3494049945334849,0.8493472862040563
SIFTsorghum,trn,6,0.3427525592759881,0.8526908631311679
SIFTsorghum,dev,6,0.34930083443025706,0.8481988119960566
SIFTsorghum,tst,6,0.3461605859980638,0.8514393680160297
SIFTcounts,trn,6,0.3371422368163268,0.8759986797403067
SIFTcounts,dev,6,0.3409768540233319,0.8697372021524191
SIFTcounts,tst,6,0.34016704528177905,0.8708754219599313
rho,trn,6,0.34258244293171103,0.8538733399501582
rho,dev,6,0.34693101181549607,0.8510609649271488
rho,tst,6,0.3448899073923609,0.8544822476061217
Mexp,trn,6,0.3393445239600561,0.8758088534263914
Mexp,dev,6,0.34500673703858137,0.8677545150537612
Mexp,tst,6,0.34433117418029213,0.8691727529478301
Sexp,trn,6,0.3418450566800471,0.8521374739849935
Sexp,dev,6,0.34709796655809905,0.8485725026057902
Sexp,tst,6,0.3424366766628526,0.8558705484157224
geneLen,trn,6,0.3409872329446011,0.8545845259685495
geneLen,dev,6,0.34827650653112663,0.8513953909046194
geneLen,tst,6,0.34129076953455356,0.8549386859374507
NEWpi,trn,7,0.33972436627646035,0.8760987062537025
NEWpi,dev,7,0.3335991137607155,0.8795807785133913
NEWpi,tst,7,0.34612730909784806,0.8639802108472189
mr,trn,7,0.34814620051043976,0.8488370867085747
mr,dev,7,0.34465723178041274,0.8530023906934616
mr,tst,7,0.35348827825331297,0.841284040164485
tau,trn,7,0.3500796942578869,0.8434087606840377
tau,dev,7,0.3471478269933726,0.8440219474901465
tau,tst,7,0.3544810900251589,0.8347628987991671
SIFTsorghum,trn,7,0.34270262462224804,0.8558161505396588
SIFTsorghum,dev,7,0.33961005232528213,0.8597319417059598
SIFTsorghum,tst,7,0.3487573289101138,0.8482385588792472
rho,trn,7,0.33905846202221385,0.8592405567293541
rho,dev,7,0.33593043608224865,0.8613821215169154
rho,tst,7,0.3476810767920877,0.8499823196643685
Mexp,trn,7,0.343290184001975,0.8714384119800674
Mexp,dev,7,0.342379351618543,0.8692392924701847
Mexp,tst,7,0.3498841383443509,0.8590270062934228
Sexp,trn,7,0.3425547453711285,0.866513254219614
Sexp,dev,7,0.3384942632890579,0.868989694402555
Sexp,tst,7,0.35060820867413395,0.8552183147562178
winLen,trn,7,0.33619120354996174,0.8779490256320986
winLen,dev,7,0.3353868451495273,0.8791535546489134
winLen,tst,7,0.34302857948119303,0.8694996047266962
none,trn,8,0.33278676636474613,0.8835039711180371
none,dev,8,0.33969355147024094,0.8713634083179688
none,tst,8,0.33926438680459836,0.8776496141460353
NEWpi,trn,8,0.3404013783365354,0.8553006742337672
NEWpi,dev,8,0.34598644952686586,0.8447058389744077
NEWpi,tst,8,0.3437018685889983,0.8529675225809669
tau,trn,8,0.3442427939261228,0.8635861578404938
tau,dev,8,0.35020265374730414,0.8487918209908166
tau,tst,8,0.3496882493536917,0.8599064410373227
SIFTsorghum,trn,8,0.343034519849638,0.8534765293658483
SIFTsorghum,dev,8,0.34805828593821986,0.8446548743389931
SIFTsorghum,tst,8,0.3490652613244595,0.8493411775254991
SIFTcounts,trn,8,0.33925627212306486,0.8551419079824187
SIFTcounts,dev,8,0.34378025615358804,0.8473311349911201
SIFTcounts,tst,8,0.3439476138746828,0.8507799941341485
rho,trn,8,0.34059283034626353,0.8552941796243573
rho,dev,8,0.3477874251218569,0.8451182503738418
rho,tst,8,0.346323749334745,0.8503305688759539
Mexp,trn,8,0.3501727822965943,0.8449187353683626
Mexp,dev,8,0.3569138047855228,0.8331729934878555
Mexp,tst,8,0.35192877444962356,0.842110327952098
Sexp,trn,8,0.34370048122930036,0.8513037718663208
Sexp,dev,8,0.3473360537329714,0.8438400613841267
Sexp,tst,8,0.3496775320948847,0.8434559443944716
winLen,trn,8,0.34229995760838,0.8537480182971434
winLen,dev,8,0.34708537689987323,0.8461889897708845
winLen,tst,8,0.3453387479170445,0.8516049808095724
geneLen,trn,8,0.3437883290682965,0.8515253559648411
geneLen,dev,8,0.35043190252624357,0.8413927311733044
geneLen,tst,8,0.3507219226173273,0.8448132116719824
none,trn,9,0.3402398421048662,0.8553492596601985
none,dev,9,0.3472823800849772,0.8443350512097711
none,tst,9,0.3462569009354846,0.8509702048727226
NEWpi,trn,9,0.3400223361420099,0.8556367660739328
NEWpi,dev,9,0.34861514904251284,0.8427623683532325
NEWpi,tst,9,0.3445617779032757,0.8520009921077937
mr,trn,9,0.3445361316534021,0.8550303271014199
mr,dev,9,0.3531761541702671,0.841945910933935
mr,tst,9,0.34705614953024766,0.8518042292102849
tau,trn,9,0.3486600485883086,0.8444435962484981
tau,dev,9,0.35358898181540727,0.8321506513671301
tau,tst,9,0.356470331855502,0.8356467206931275
SIFTcounts,trn,9,0.3413079716099648,0.8554267838127241
SIFTcounts,dev,9,0.3469022976384096,0.8466163895511268
SIFTcounts,tst,9,0.34617699726286444,0.8488957528167461
Mexp,trn,9,0.34497256052390535,0.8678768637928768
Mexp,dev,9,0.35072359023246247,0.8543274218287339
Mexp,tst,9,0.35232242468943836,0.8574611664048525
Sexp,trn,9,0.343750617720309,0.8526089024270265
Sexp,dev,9,0.3496782458787923,0.8432907454246674
Sexp,tst,9,0.34662740608684367,0.8500872194089552
winLen,trn,9,0.34591939594482046,0.8499361797541098
winLen,dev,9,0.35160203287588815,0.8395876022105305
winLen,tst,9,0.3510725634115399,0.8448133076502682
